# 공급사에 보낸 인증·기술자료 요청 메일 전수 판독 대장. 1행 = (모델 표기 × 자료유형) 1건
"# 판독 대상: 공급사·인증기관 수신 발송메일 5,346통에서 추린 요청 후보 325통 (요청 메일 288통 / 요청 항목 549건)"
# 현재보유: 보유=조회엔진이 문서를 찾음 / 미보유=마크 X 또는 모델이 지식베이스 미등재 / 판정불가=모델 미특정·제품군 모호
# 확정여부: 확정 외(추정…)는 모델 해석 또는 인증서 적용범위가 추정이라는 뜻 — 고객 제출 전 적용범위 확인 필요
# 마크: O=완제품 단위 인증서 / 자재=자재별 성적서 묶음 / *=라인 인증서 추론 매핑 / 전사=제조사 단위 인증 / X=없음
# 자료유형 기타(Other-cert): FCC·ETL·IP67/68·원산지증명·공장등록증·LSZH 난연·CCC 등 매핑표 밖 요청. manifest Other-cert 축으로 판정
"# 정렬: 미보유 → 판정불가 → 보유, 그 다음 모델명·자료유형"
모델,제품군,매칭경로,확정여부,자료유형,현재보유,마크,요청횟수,최초요청,최근요청,수신처,대표 메일제목,근거문구
LS-USB2.0-AMAF-SxM,LS-USB2.0-AMAF-SXM,exact,확정,CE,미보유,X,2,2022-09-23,2022-11-29,BOR Cable (Mr Gu),RE: Re: CE certificate about Screw cable,We need CE sheet below cables. 1. LS-USB2.0-AMAF-SxM
LS-USB3.0-FFS0.2M,,none(KB 미등재),추정불가,Data sheet,미보유,X,1,2021-02-25,2021-02-25,BOR Cable (Mr Gu),LS-USB3.0-FFS0.2M / blue to black,please send the new cable(black color) data sheet
LS-USB304B,,none(KB 미등재),추정불가,CE,미보유,X,2,2020-07-16,2020-07-17,BOR Cable (Mr Gu),RE: USB3.0 Hub,request add our model name(LS-USB304B) as a derived model to the CE and FCC certifications
LS-USB304B,,none(KB 미등재),추정불가,기타(Other-cert),미보유,X,1,2020-07-17,2020-07-17,BOR Cable (Mr Gu),RE: USB3.0 Hub,add our model name(LS-USB304B) as a derived model to the CE and FCC certifications (FCC)
LS-WP8DS-C5E,LS-WP8DS-C5E,exact,확정,RoHS,미보유,X,1,2023-11-21,2023-11-21,Shiunn Yang (Erica),Re: UL and Data sheet,we need ROHS sheet for LS-WP8DS-C5E /C6.
LS-WP8DS-C6,LS-WP8DS-C6,exact,확정,RoHS,미보유,X,1,2023-11-21,2023-11-21,Shiunn Yang (Erica),Re: UL and Data sheet,we need ROHS sheet for LS-WP8DS-C5E /C6.
LS-WP8DS-C6,LS-WP8DS-C6,exact,확정,Test report,미보유,X,1,2023-05-08,2023-05-08,Shiunn Yang (Erica),RE: RE: RE: UL and Data sheet,Could you please send Water proof test report for below products? LS-WP8DS-C6
LS-WPCOP-C6,LS-WPCOP-C6,exact,확정,기타(Other-cert),미보유,X,1,2022-05-17,2022-05-17,BOR Cable (Mr Gu),RE: Re: Certificate,"Could you please send IP67 certificate for LS-WPCOP-C6, C6A?"
LS-WPCOP-C6A,LS-WPCOP-C6A,exact,확정,기타(Other-cert),미보유,X,1,2022-05-17,2022-05-17,BOR Cable (Mr Gu),RE: Re: Certificate,"Could you please send IP67 certificate for LS-WPCOP-C6, C6A?"
LS-WPK8DS-C5E,LS-WPK8DS-C5E,exact,확정,기타(Other-cert),미보유,X,1,2022-08-24,2022-08-24,Shiunn Yang (Erica),Ip68 CERTIFICATE,Could you please send the IP68 certificate? LS-WPK8DS-C5E
LS-WPUSB-3.0,LS-WPUSB-3.0,exact,확정,CE,미보유,X,2,2022-02-22,2023-03-31,Shiunn Yang (Erica),RE: RE: UL and Data sheet,"If you have UL and CE certificate for LS-WPUSB-3.0,. Please send it."
LS-WPUSB-3.0,LS-WPUSB-3.0,exact,확정,CoC,미보유,X,1,2022-02-22,2022-02-22,Shiunn Yang (Erica),Certificate,"Do you have any certificate for this product? (Water proof, CE, COC)"
LS-WPUSB-3.0,LS-WPUSB-3.0,exact,확정,Test report,미보유,X,1,2023-05-08,2023-05-08,Shiunn Yang (Erica),RE: RE: RE: UL and Data sheet,Could you please send Water proof test report for below products? LS-WPUSB-3.0
LS-WPUSB-3.0,LS-WPUSB-3.0,exact,확정,UL,미보유,X,1,2023-03-31,2023-03-31,Shiunn Yang (Erica),RE: RE: UL and Data sheet,"If you have UL and CE certificate for LS-WPUSB-3.0,. Please send it."
LS-WPUSB-3.0,LS-WPUSB-3.0,exact,확정,기타(Other-cert),미보유,X,1,2022-02-22,2022-02-22,Shiunn Yang (Erica),Certificate,"(Water proof, CE, COC)"
LSN-BOOT-COVER-WN,LSN-BOOT-COVER-WN,exact,확정,Test report,미보유,X,1,2026-06-19,2026-06-19,BOR Cable (Mr Gu),"Request for Updated RoHS, REACH, and SGS Test Reports for LSN-BOOT-COVER-WN",SGS Test Report
LSP-6IC-FJM,LSP-6IC-FJM,exact,확정,CE,미보유,X,1,2022-12-16,2022-12-16,BOR Cable (Mr Gu),"ROHS, CE",We need ROHS and CE sheet for below products. 3. LSP-6IC-FJM
LSP-6IC-FKTMT,LSP-6IC-FKTMT,exact,확정,CE,미보유,X,1,2022-12-16,2022-12-16,BOR Cable (Mr Gu),"ROHS, CE",We need ROHS and CE sheet for below products. 1. LSP-6IC-FKTMT
LSP-6KTVM,LSP-6KTVM-F1MT,stem,추정(모델매칭),UL,미보유,X,1,2025-06-13,2025-06-13,BOR Cable (Mr Gu),Inquiry About UL-Certified Keystone Modules and patch pannel from China,UL-certified versions of the following products: ... LSP-6KTVM
LSP-EC-BIND,,none(KB 미등재),추정불가,Data sheet,미보유,X,1,2020-05-14,2020-05-14,BOR Cable (Mr Gu),Data Sheet about New coupler,We need data sheet about new coupler ... LSP-EC-BIND
LSP-EC-BLANK-W,,none(KB 미등재),추정불가,Data sheet,미보유,X,1,2020-05-14,2020-05-14,BOR Cable (Mr Gu),Data Sheet about New coupler,We need data sheet about new coupler ... LSP-EC-BLANK-W
LSP-EC-BNC,,none(KB 미등재),추정불가,Data sheet,미보유,X,2,2020-05-14,2025-08-21,BOR Cable (Mr Gu),Inquiry about LSP-EC-BNC  Connector Impedance Specification,"If you also have a data sheet available, kindly share it with us for our reference."
LSP-EC-F,,none(KB 미등재),추정불가,Data sheet,미보유,X,1,2020-05-14,2020-05-14,BOR Cable (Mr Gu),Data Sheet about New coupler,We need data sheet about new coupler ... LSP-EC-F
LSP-EC-HC15,,none(KB 미등재),추정불가,Data sheet,미보유,X,1,2020-05-14,2020-05-14,BOR Cable (Mr Gu),Data Sheet about New coupler,We need data sheet about new coupler ... LSP-EC-HC15
LSP-EC-HDMI,,none(KB 미등재),추정불가,Data sheet,미보유,X,1,2020-05-14,2020-05-14,BOR Cable (Mr Gu),Data Sheet about New coupler,We need data sheet about new coupler ... LSP-EC-HDMI
LSP-EC-HOLE-W,,none(KB 미등재),추정불가,Data sheet,미보유,X,1,2020-05-14,2020-05-14,BOR Cable (Mr Gu),Data Sheet about New coupler,We need data sheet about new coupler ... LSP-EC-HOLE-W
LSP-EC-LC,,none(KB 미등재),추정불가,Data sheet,미보유,X,1,2020-05-14,2020-05-14,BOR Cable (Mr Gu),Data Sheet about New coupler,We need data sheet about new coupler ... LSP-EC-LC
LSP-EC-RCA,,none(KB 미등재),추정불가,Data sheet,미보유,X,1,2020-05-14,2020-05-14,BOR Cable (Mr Gu),Data Sheet about New coupler,We need data sheet about new coupler ... LSP-EC-RCA
LSP-EC-SC,,none(KB 미등재),추정불가,Data sheet,미보유,X,1,2020-05-14,2020-05-14,BOR Cable (Mr Gu),Data Sheet about New coupler,We need data sheet about new coupler ... LSP-EC-SC
LSP-EC-ST,,none(KB 미등재),추정불가,Data sheet,미보유,X,1,2020-05-14,2020-05-14,BOR Cable (Mr Gu),Data Sheet about New coupler,We need data sheet about new coupler ... LSP-EC-ST
LSP-EIC-FJM,LSP-EIC-FJM,exact,확정,MSDS/SDS,미보유,X,1,2026-07-08,2026-07-08,BOR Cable (Mr Gu),Request for RoHS and MSDS Documents for LSP-EIC-FJM,send us the RoHS and MSDS documents for the LSP-EIC-FJM
LSP-EKTVM,LSP-EKTVM-F1MT,stem,추정(모델매칭),UL,미보유,X,1,2025-06-13,2025-06-13,BOR Cable (Mr Gu),Inquiry About UL-Certified Keystone Modules and patch pannel from China,UL-certified versions of the following products: LSP-EKTVM ... please provide related documentation
LSP-EKTVM-F1MT,LSP-EKTVM-F1MT,exact,확정,CE,미보유,X,1,2022-02-24,2022-02-24,BOR Cable (Mr Gu),CE certificate - LSP-EKTVM-F1MT,We need CE certificate sheet for LSP-EKTVM-F1MT (Cat.5e STP Keystone jack)
LSP-GIC-UJW,LSP-GIC-UJW,exact,확정,UL,미보유,X,1,2023-05-12,2023-05-12,BOR Cable (Mr Gu),test report for LSP-GIC-UJW,we need UL sheet or any test report for LSP-GIC-UJW
LSP-WP8DS-C6A,LSP-WP8DS-C6A,exact,확정,CoC,미보유,X,1,2022-02-22,2022-02-22,BOR Cable (Mr Gu),Certificate,"Do you have any certificate for this product? (Water proof, CE, COC)"
OM3-LCLC-15M,,none(KB 미등재),추정불가,Test report,미보유,X,1,2025-01-17,2025-01-17,BOR Cable (Mr Gu),RE: Test report for Fiber cable,We need test report about OM3-LCLC-15M.
OM4-LCLC-xM,OM4-LCLC,suffix,확정,CE,미보유,X,1,2024-12-26,2024-12-26,BOR Cable (Mr Gu),CE certificate. (COC Sheet),"Our customer request CE certificate for ""OM4-LCLC-xM'. If you have it, plesae send it."
U30AOC10,,none(KB 미등재),추정불가,CE,미보유,X,1,2025-11-10,2025-11-10,BOR Cable (Mr Gu),Request for CE Certificates – DP12MM-10M / U30AOC10,We need the CE certificates for the following two cable models: ... U30AOC10
(모델 미특정),,(모델 미특정),판정불가,Data sheet,판정불가,,6,2020-06-02,2025-07-31,BOR Cable (Mr Gu),"Request for Bandwidth, Return Loss, and Maximum Saturation Output Power Data for LS-6UTPD and OM3/OM4 LCLC Fiber Cable",OM3 / OM4 LCLC Fiber Optic Cable - Bandwidth (GHz) / Return Loss (%) / Maximum Saturation Output Power ... I look forward to receiving the updated datasheets
(모델 미특정),,(모델 미특정),판정불가,Drawing,판정불가,,2,2023-08-10,2023-12-26,BOR Cable (Mr Gu),RE: Re: RE: Rack cabinet drawing file.,"If you ready, Please send it."
(모델 미특정),,(모델 미특정),판정불가,Fluke test,판정불가,,1,2021-12-09,2021-12-09,BOR Cable (Mr Gu),RE: Re: Fluke about LS-CAT.5E-HUTP-300MG,Our customer want 80M fluke test report.
(모델 미특정),,(모델 미특정),판정불가,RoHS,판정불가,,3,2020-06-02,2025-04-29,BOR Cable (Mr Gu),RE: Re: request about Data sheet,could you please send ROHS sheet for RGB cable
(모델 미특정),,(모델 미특정),판정불가,Test report,판정불가,,3,2020-06-02,2023-06-21,BOR Cable (Mr Gu),RE: Re: Patch panel test report,"Ok, If you ready, Please send it to me."
LS-6PLB,LS-6PLB-48P19|LS-6PLB-24P19N,stem_ambiguous(제품군 모호),판정불가,UL,판정불가,,1,2025-06-13,2025-06-13,BOR Cable (Mr Gu),Inquiry About UL-Certified Keystone Modules and patch pannel from China,UL-certified versions of the following products: ... LS-6PLB
LS-EPLB,LS-EPLB-48P19|LS-EPLB-24P19N,stem_ambiguous(제품군 모호),판정불가,UL,판정불가,,1,2025-06-13,2025-06-13,BOR Cable (Mr Gu),Inquiry About UL-Certified Keystone Modules and patch pannel from China,UL-certified versions of the following products: ... LS-EPLB
LS-FMD,LS-FMD-LCLC|LS-FMD-LCSC|LS-FMD-SCSC|LS-FMD / LS-FMP,stem_ambiguous(제품군 모호),판정불가,CE,판정불가,,1,2023-11-20,2023-11-20,BOR Cable (Mr Gu),Certificate for Fiber patch cord,any certificate for Fiber patch cord? (LS-FMD / LS-FMP...) ... we need CE or any TEST REPORT
LS-FMD,LS-FMD-LCLC|LS-FMD-LCSC|LS-FMD-SCSC|LS-FMD / LS-FMP,stem_ambiguous(제품군 모호),판정불가,Test report,판정불가,,1,2023-11-20,2023-11-20,BOR Cable (Mr Gu),Certificate for Fiber patch cord,we need CE or any TEST REPORT
LS-FMP,LS-FMP-LC-1.5M|LS-FMP-SC-1.5M,stem_ambiguous(제품군 모호),판정불가,CE,판정불가,,1,2023-11-20,2023-11-20,BOR Cable (Mr Gu),Certificate for Fiber patch cord,any certificate for Fiber patch cord? (LS-FMD / LS-FMP...) ... we need CE or any TEST REPORT
LS-FMP,LS-FMP-LC-1.5M|LS-FMP-SC-1.5M,stem_ambiguous(제품군 모호),판정불가,Test report,판정불가,,1,2023-11-20,2023-11-20,BOR Cable (Mr Gu),Certificate for Fiber patch cord,we need CE or any TEST REPORT
LSP-6IC,LSP-6IC-FJM|LSP-6IC-UKBK|LSP-6IC-UKWT|LSP-6IC-FKTMT,stem_ambiguous(제품군 모호),판정불가,UL,판정불가,,1,2025-06-13,2025-06-13,BOR Cable (Mr Gu),Inquiry About UL-Certified Keystone Modules and patch pannel from China,UL-certified versions of the following products: ... LSP-6IC
LSP-EIC,LSP-EIC-FJM|LSP-EIC-UKBK|LSP-EIC-UKWT|LSP-EIC-FKTMT,stem_ambiguous(제품군 모호),판정불가,UL,판정불가,,1,2025-06-13,2025-06-13,BOR Cable (Mr Gu),Inquiry About UL-Certified Keystone Modules and patch pannel from China,UL-certified versions of the following products: ... LSP-EIC
DP12MM-10M,DP12MM-10M,exact,확정,CE,보유,O,1,2025-11-10,2025-11-10,BOR Cable (Mr Gu),Request for CE Certificates – DP12MM-10M / U30AOC10,We need the CE certificates for the following two cable models: DP12MM-10M
LS-1600HQ,LS-1600HQ,exact,확정,기타(Other-cert),보유,O,1,2025-02-14,2025-02-14,BOR Cable (Mr Gu),Inquiry About Mineral Usage in LS-1600HQ Hub Rack Cabinet,confirm whether any of the 40 critical minerals listed in the attached sheet are used in the production of the LS-1600HQ Hub Rack Cabinet
LS-1800HBS,LS-1800HBS,exact,확정,Data sheet,보유,O,1,2024-09-02,2024-09-02,BOR Cable (Mr Gu),cabinet data sheet,could you please send data sheet for cabinet? LS-1800HBS i don't have data sheet only this product.
LS-2000HSQ,LS-2000HSQ,exact,확정,Data sheet,보유,O,1,2022-11-11,2022-11-11,BOR Cable (Mr Gu),Data sheet about LS-2000HSQ,Please send new data sheet about LS-2000HSQ
LS-5FTPSD-BK1M,LS-5FTPSD-BK|LS-5FTPSD-BKXM,suffix,확정,RoHS,보유,O,1,2021-08-24,2021-08-24,BOR Cable (Mr Gu),ROHS2.0 for LS-5FTPSD-BK1M,We need ROHS 2.0 sheet for LS-5FTPSD-BK1M
LS-5FTPSD-BKxM,LS-5FTPSD-BKXM,exact,확정,Data sheet,보유,O,1,2022-08-11,2022-08-11,BOR Cable (Mr Gu),Data sheet - LS-5FTPSD-BKXm,We need data sheet and Rohs sheet about LS-5FTPSD-BKxM
LS-5FTPSD-BKxM,LS-5FTPSD-BKXM,exact,확정,RoHS,보유,O,2,2022-08-11,2023-07-28,BOR Cable (Mr Gu),ROHS sheet,could you please send ROHS sheet for LS-5FTPSD-BKxM?
LS-5SFTP-300M,LS-5SFTP-300M,exact,확정,Data sheet,보유,O,2,2020-07-23,2026-04-15,BOR Cable (Mr Gu),"RE: Request for Cable Specifications, Test Reports, Certifications, and Jacket Material Options",confirm whether you can provide: - Updated specification sheet / datasheet
LS-5SFTP-300M,LS-5SFTP-300M,exact,확정,RoHS,보유,자재,1,2022-06-20,2022-06-20,BOR Cable (Mr Gu),300M Roll - RoHS,Could you please send RoHS sheet? 1. LS-5SFTP-300M
LS-5SFTP-B300,LS-5SFTP-B300,exact,확정,Data sheet,보유,O,1,2021-03-22,2021-03-22,BOR Cable (Mr Gu),data sheet for CAT.5e SFTP -300M / blue (LS-5SFTP-B300),We need data sheet about LS-5SFTP-B300
LS-5STPC,LS-5STPC,exact,확정,Data sheet,보유,O,1,2024-09-23,2024-09-23,BOR Cable (Mr Gu),data sheet about patch cord,1. data sheet ... LS-5STPC / LS-6UTPC
LS-5STPD,LS-5STPD,exact,확정,Data sheet,보유,O,1,2024-09-23,2024-09-23,BOR Cable (Mr Gu),data sheet about patch cord,1. data sheet ... LS-5STPD / LS-6STPD ...
LS-5STPD-xM,LS-5STPD,suffix,확정,Fluke test,보유,O,2,2025-08-29,2025-09-04,BOR Cable (Mr Gu),RE: Re: Request for Fluke Test Report for Cat.5e Cable (LS-5STPD-xM Series),Please send the Fluke test for 5STPD first.
LS-5UTP-100MBL,LS-5UTP,suffix,확정,Data sheet,보유,O,1,2024-03-27,2024-03-27,BOR Cable (Mr Gu),Data sheet and ROHS sheet for 100m Patch cord,"LS-5UTP-100MG / LS-5UTP-100MBL ... Could you please send data sheet, ROHSsheet and any tset report?"
LS-5UTP-100MBL,LS-5UTP,suffix,확정,RoHS,보유,O,1,2024-03-27,2024-03-27,BOR Cable (Mr Gu),Data sheet and ROHS sheet for 100m Patch cord,"Could you please send data sheet, ROHSsheet and any tset report?"
LS-5UTP-100MG,LS-5UTP,suffix,확정,Data sheet,보유,O,1,2024-03-27,2024-03-27,BOR Cable (Mr Gu),Data sheet and ROHS sheet for 100m Patch cord,"LS-5UTP-100MG / LS-5UTP-100MBL ... Could you please send data sheet, ROHSsheet and any tset report?"
LS-5UTP-100MG,LS-5UTP,suffix,확정,RoHS,보유,O,1,2024-03-27,2024-03-27,BOR Cable (Mr Gu),Data sheet and ROHS sheet for 100m Patch cord,"Could you please send data sheet, ROHSsheet and any tset report?"
LS-5UTP-300MG,LS-5UTP,suffix,추정(모델매칭),Data sheet,보유,O,1,2020-06-04,2020-06-04,BOR Cable (Mr Gu),300m Lan Cable.,Our customer request the spec about 300m Lan Cable ... LS-5UTP-300MG
LS-5UTPAD-*M,LS-5UTPAD,suffix,확정,RoHS,보유,O,1,2026-07-08,2026-07-08,BOR Cable (Mr Gu),Request for Updated RoHS and MSDS Documents,provide the latest RoHS and MSDS documents for the following five cables
LS-5UTPD,LS-5UTPD,exact,확정,Data sheet,보유,O,1,2024-09-23,2024-09-23,BOR Cable (Mr Gu),data sheet about patch cord,1. data sheet LS-5UTPD / LS-6UTPD / LS-5STPD / LS-6STPD / LS-5STPC / LS-6UTPC
LS-5UTPD-xMG,LS-5UTPD,suffix,확정,Data sheet,보유,O,1,2023-03-10,2023-03-10,BOR Cable (Mr Gu),Data Sheet about Cat.5e UTP patch cord,We need latest Data sheet about LS-5UTPD-xMG series
LS-6FTP-100MG,LS-6FTP-100MG,exact,확정,Data sheet,보유,O,1,2026-05-29,2026-05-29,BOR Cable (Mr Gu),Data sheet for Cat.6 100m cable,Could you please send data sheet about LS-6FTP-100MG?
LS-6IC-FKTMT,LS-6IC-FKTMT,exact,확정,Data sheet,보유,O,1,2024-05-17,2024-05-17,EPN·EP Corp (Roy),Data sheet for LS-6IC-FKTMT,Could you please send data sheet (Drawing file) for LS-6IC-FKTMT?
LS-6IC-UJW,LS-6IC-UJW,exact,확정,Data sheet,보유,O,2,2024-03-27,2026-01-23,EPN·EP Corp (Roy) / Livewire Asia-Pacific (Ian),Request for English Manual or Specification Sheet for LS-6IC-UJW,provide an English manual or a product description/specification sheet for the LS-6IC-UJW
LS-6IC-UNJ24,LS-6IC-UNJ24,exact,확정,CE,보유,O,1,2021-05-03,2021-05-03,EPN·EP Corp (Roy),CE certification about LS-6IC-UNJ24,Our customer request the CE sheet about LS-6IC-UNJ24
LS-6IC-UNJ24,LS-6IC-UNJ24,exact,확정,UL,보유,전사,1,2021-05-03,2021-05-03,EPN·EP Corp (Roy),RE: RE: CE certification about LS-6IC-UNJ24,"If you have UL certification of LS-6IC-UNJ24, Please send it"
LS-6PLB-24P19N,LS-6PLB-24P19N,exact,확정,CE,보유,O,1,2021-08-18,2021-08-18,BOR Cable (Mr Gu),CE certification about Cat.6 Patch panel,"cat.6 Patch Pannel. (LS-6PLB-24P19N , LS-6PLB-48P19) They need CE certification"
LS-6PLB-24P19N,LS-6PLB-24P19N,exact,확정,Data sheet,보유,O,2,2021-10-27,2023-05-30,BOR Cable (Mr Gu),Data sheet and CAD sheet for patch pannel,We need Data sheet and CAD sheet (3D drawing file/DWG). ... 2. LS-6PLB-24P19N
LS-6PLB-24P19N,LS-6PLB-24P19N,exact,확정,UL,보유,전사,1,2021-08-13,2021-08-13,BOR Cable (Mr Gu),UL certification,"We need the UL certification for Cat.5e, Cat.6 patch panel (LS-EPLB-24P19N, LS-6PLB-24P19N)"
LS-6PLB-48P19,LS-6PLB-48P19,exact,확정,CE,보유,O,1,2021-08-18,2021-08-18,BOR Cable (Mr Gu),CE certification about Cat.6 Patch panel,"cat.6 Patch Pannel. (LS-6PLB-24P19N , LS-6PLB-48P19) They need CE certification"
LS-6PLB-48P19,LS-6PLB-48P19,exact,확정,Data sheet,보유,O,1,2021-10-27,2021-10-27,BOR Cable (Mr Gu),Data Sheet for Patch Pannel,4. LS-6PLB-48P19
LS-6PLB-48P19,LS-6PLB-48P19,exact,확정,Test report,보유,O,1,2023-06-20,2023-06-20,BOR Cable (Mr Gu),Patch panel test report,Our customer want receive test report about below products. ... LS-6PLB-48P19
LS-6SFTP-300M,LS-6SFTP-300M,exact,확정,Data sheet,보유,O,2,2025-04-08,2026-04-15,BOR Cable (Mr Gu),"RE: Request for Cable Specifications, Test Reports, Certifications, and Jacket Material Options",confirm whether you can provide: - Updated specification sheet / datasheet
LS-6SFTP-300M,LS-6SFTP-300M,exact,확정,RoHS,보유,O,2,2022-06-20,2026-06-04,BOR Cable (Mr Gu),Request for ROHS and MSDS sheet about LS-6SFTP-300m,We need the RoHS and MSDS documents for LS-6SFTP-300M
LS-6SFTP-300M,LS-6SFTP-300M,exact,확정,Test report,보유,O,2,2021-04-20,2026-04-15,BOR Cable (Mr Gu),"RE: Request for Cable Specifications, Test Reports, Certifications, and Jacket Material Options",confirm whether you can provide: ... - Test report
LS-6STPD,LS-6STPD,exact,확정,Data sheet,보유,O,2,2024-09-23,2025-04-25,BOR Cable (Mr Gu),request about Data sheet,Could you please send the Data sheet? ... LS-6STPD
LS-6STPD-*M,LS-6STPD,suffix,확정,RoHS,보유,O,1,2026-07-08,2026-07-08,BOR Cable (Mr Gu),Request for Updated RoHS and MSDS Documents,provide the latest RoHS and MSDS documents for the following five cables
LS-6STPD-20M,LS-6STPD,suffix,확정,Fluke test,보유,O,2,2023-05-11,2023-05-11,BOR Cable (Mr Gu),RE: Fluke test - Cat.6 STP patch cord,Could you please mark our model name? Cable ID : LS-6STPD-20M
LS-6STPD-Xm,LS-6STPD,suffix,확정,Data sheet,보유,O,4,2022-03-22,2025-06-05,BOR Cable (Mr Gu),Re: Inquiry About LS-6STPD-xM Cable in 500m or 1000m+ Rolls,I can't find data sheet. Please send it again
LS-6STPD-xM,LS-6STPD,suffix,확정,Fluke test,보유,O,1,2023-05-24,2023-05-24,BOR Cable (Mr Gu),Data sheet and Fluke report for Cat.6 FTP patch cord.,Could you please send Data sheet and Fluke report for Cat.6 FTP patch cord? (LS-6STPD-xM)
LS-6STPD-xM,LS-6STPD,suffix,확정,REACH,보유,자재,1,2024-10-16,2024-10-16,BOR Cable (Mr Gu),REACH2 for cat.6 patch cord,we need REACH2 sheet about LS-6STPD-xM series (cat.6 patch cord)
LS-6UTP-300M,LS-6UTP,suffix,확정,Data sheet,보유,O,1,2024-01-10,2024-01-10,BOR Cable (Mr Gu),Data sheet for 300m cable,data sheet about below cables? ... LS-6UTP-300M
LS-6UTP-300MG,LS-6UTP,suffix,확정,Data sheet,보유,O,2,2020-06-04,2026-04-15,BOR Cable (Mr Gu),"RE: Request for Cable Specifications, Test Reports, Certifications, and Jacket Material Options",confirm whether you can provide: - Updated specification sheet / datasheet
LS-6UTP-300MG,LS-6UTP,suffix,확정,Fluke test,보유,O,1,2024-09-05,2024-09-05,BOR Cable (Mr Gu),fluke test about LS-6UTP-300M,"do you have fluke test about cat.6 UTP 300m cable? (LS-6UTP-300MG) ... If you have it, please send it."
LS-6UTP-300MG,LS-6UTP,suffix,확정,RoHS,보유,자재,1,2021-06-28,2021-06-28,BOR Cable (Mr Gu),Rohs2.0 for CAT.6 UTP cable.,We need Rohs 2.0 sheet about cat.6 UTP cable / 300m. (LS-6UTP-300MG)
LS-6UTP-300MG,LS-6UTP,suffix,확정,Test report,보유,O,1,2026-04-15,2026-04-15,BOR Cable (Mr Gu),"RE: Request for Cable Specifications, Test Reports, Certifications, and Jacket Material Options",confirm whether you can provide: ... - Test report
LS-6UTPC,LS-6UTPC,exact,확정,Data sheet,보유,O,1,2024-09-23,2024-09-23,BOR Cable (Mr Gu),data sheet about patch cord,1. data sheet ... LS-5STPC / LS-6UTPC
LS-6UTPC-*M,LS-6UTPC,suffix,확정,RoHS,보유,O,1,2026-07-08,2026-07-08,BOR Cable (Mr Gu),Request for Updated RoHS and MSDS Documents,provide the latest RoHS and MSDS documents for the following five cables
LS-6UTPC-xMG,LS-6UTPC,suffix,추정(모델매칭),Fluke test,보유,O,1,2024-10-24,2024-10-24,BOR Cable (Mr Gu),RE: Re: RE: cat.6 Cross patch cord fluke test,If you ready fluke test report about LS-6UTPC-xMG (cat.6 UTP cross patch cord) Please send it.
LS-6UTPD,LS-6UTPD,exact,확정,Data sheet,보유,O,2,2024-09-23,2025-07-31,BOR Cable (Mr Gu),"Request for Bandwidth, Return Loss, and Maximum Saturation Output Power Data for LS-6UTPD and OM3/OM4 LCLC Fiber Cable",Please update the data sheet for the following products ... LS-6UTPD (CAT.6 UTP Cable) Bandwidth (GHz) / Return Loss (%) / Maximum Saturation Output Power
LS-6UTPD-*M,LS-6UTPD,suffix,확정,RoHS,보유,O,1,2026-07-08,2026-07-08,BOR Cable (Mr Gu),Request for Updated RoHS and MSDS Documents,provide the latest RoHS and MSDS documents for the following five cables
LS-6UTPD-15MG,LS-6UTPD,suffix,확정,Fluke test,보유,O,1,2022-11-08,2022-11-08,BOR Cable (Mr Gu),Fluke test,We need fluke test newest report about LS-6UTPD-15MG / 20MG
LS-6UTPD-20MG,LS-6UTPD,suffix,확정,Fluke test,보유,O,1,2022-11-08,2022-11-08,BOR Cable (Mr Gu),Fluke test,We need fluke test newest report about LS-6UTPD-15MG / 20MG
LS-7NSTPD,LS-7NSTPD,exact,확정,Data sheet,보유,O,1,2025-04-25,2025-04-25,BOR Cable (Mr Gu),request about Data sheet,Could you please send the Data sheet? ... LS-7NSTPD
LS-7NSTPD-3M,LS-7NSTPD,suffix,확정,Fluke test,보유,O,1,2022-11-22,2022-11-22,BOR Cable (Mr Gu),Fluke test about cat.7,We need Fluke test report about LS-7NSTPD-3M
LS-7SD-BK0.5M,LS-7SD-BKXM|LS-7SD-BK,suffix,확정,Data sheet,보유,O,1,2020-09-22,2020-09-22,BOR Cable (Mr Gu),ROHS and Data Sheet,We need the ROHS and Datasheet. 2. LS-7SD-BK0.5M
LS-7SD-BK0.5M,LS-7SD-BKXM|LS-7SD-BK,suffix,확정,RoHS,보유,O,1,2020-09-22,2020-09-22,BOR Cable (Mr Gu),ROHS and Data Sheet,We need the ROHS and Datasheet. 2. LS-7SD-BK0.5M
LS-7SD-BKxm,LS-7SD-BKXM,exact,확정,Data sheet,보유,O,1,2021-01-22,2021-01-22,BOR Cable (Mr Gu),data sheet and ROHS,we need data sheet and ROHS sheet 2. LS-7SD-BKxm
LS-7SD-BKxm,LS-7SD-BKXM,exact,확정,RoHS,보유,O,1,2021-01-22,2021-01-22,BOR Cable (Mr Gu),data sheet and ROHS,we need data sheet and ROHS sheet 2. LS-7SD-BKxm
LS-7SSTP-300MG,LS-7SSTP,suffix,추정(모델매칭),CE,보유,O,1,2021-07-26,2021-07-26,BOR Cable (Mr Gu),cat.7 S/FTP cable 300m about CE,We need CE certification about cat.7 S/FTP 300m cable. (LS-7SSTP-300MG)
